"scientificName","scientificNameAuthorship","taxonID","kingdom","phylum","class","order","suborder","infraorder","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","institutionCode","collectionCode","catalogNumber","datasetName","occurrenceID","recordedBy","recordNumber","fieldNumber","eventDate","year","month","day","basisOfRecord","locality","locationRemarks","island","stateProvince","country","countryCode","coordinateUncertaintyInMeters","georeferencedBy","georeferenceVerificationStatus","georeferenceProtocol","georeferenceRemarks","habitat","verbatimDepth","verbatimElevation","occurrenceStatus","samplingProtocol","occurrenceRemarks","individualCount","sex","establishmentMeans","provincialStatus","nationalStatus","identifiedBy","identificationQualifier","identificationRemarks","previousIdentifications","bibliographicCitation","associatedReferences","MAP_LABEL","DESC"
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,"Pinaceae","Abies",NA,"Abies amabilis","","species","iNaturalist","Observations","123657156","","https://www.inaturalist.org/observations/123657156","Joan Septembre","",NA,"2022-06-26",2022,6,26,"Human Observation","",NA,NA,"British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,"Pinaceae","Abies",NA,"Abies amabilis","","species","iNaturalist","Observations","135628853","","https://www.inaturalist.org/observations/135628853","L","",NA,"2022-09-17",2022,9,17,"Human Observation","",NA,NA,"British Columbia","Canada","CA",1403,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,"Pinaceae","Abies",NA,"Abies amabilis","","species","iNaturalist","Observations","127277253","","https://www.inaturalist.org/observations/127277253","Paul Fisher","",NA,"2022-07-21",2022,7,21,"Human Observation","",NA,NA,"British Columbia","Canada","CA",11,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,"Pinaceae","Abies",NA,"Abies amabilis","","species","iNaturalist","Observations","147415558","","https://www.inaturalist.org/observations/147415558","Sonia Landwehr","",NA,"2023-01-15",2023,1,15,"Human Observation","",NA,NA,"British Columbia","Canada","CA",4,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Abies amabilis","Douglas ex J. Forbes",75240,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,"Pinaceae","Abies",NA,"Abies amabilis","","species","iNaturalist","Observations","231344050","","https://www.inaturalist.org/observations/231344050","nicofret","",NA,"2024-07-23",2024,7,23,"Human Observation","",NA,NA,"British Columbia","Canada","CA",6,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Abies lasiocarpa","(Hooker) Nuttall",75241,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,"Pinaceae","Abies",NA,"Abies lasiocarpa","","species","iNaturalist","Observations","62162758","","https://www.inaturalist.org/observations/62162758","John D Reynolds","",NA,"2020-10-02",2020,10,2,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",5,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"John D Reynolds",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Abies lasiocarpa","(Hooker) Nuttall",75241,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,"Pinaceae","Abies",NA,"Abies lasiocarpa","","species","iNaturalist","Observations","62083496","","https://www.inaturalist.org/observations/62083496","John D Reynolds","",NA,"2020-10-02",2020,10,2,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",301,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"John D Reynolds",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Abies lasiocarpa","(Hooker) Nuttall",75241,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,"Pinaceae","Abies",NA,"Abies lasiocarpa","","species","iNaturalist","Observations","62083492","","https://www.inaturalist.org/observations/62083492","John D Reynolds","",NA,"2020-10-02",2020,10,2,"HUMAN_OBSERVATION","",NA,NA,"British Columbia","Canada","CA",10,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"John D Reynolds",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Abies lasiocarpa","(Hooker) Nuttall",75241,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,"Pinaceae","Abies",NA,"Abies lasiocarpa","","species","iNaturalist","Observations","62083492","","https://www.inaturalist.org/observations/62083492","John D Reynolds","",NA,"2020-10-02",2020,10,2,"Human Observation","",NA,NA,"British Columbia","Canada","CA",10,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
"Abies lasiocarpa","(Hooker) Nuttall",75241,"Plantae","Tracheophyta","Pinopsida","Pinales","",NA,"Pinaceae","Abies",NA,"Abies lasiocarpa","","species","iNaturalist","Observations","62083496","","https://www.inaturalist.org/observations/62083496","John D Reynolds","",NA,"2020-10-02",2020,10,2,"Human Observation","",NA,NA,"British Columbia","Canada","CA",301,"","","","",NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"",NA,NA,NA,NA,NA,"CMAunp","Undifferentiated and Parkland Coastal Mountain-heather Alpine Zone"
